     4     9     3     1
     4     9     2     1
     7     9     3     1
     7     9     5     1
     4     9     3     7
     4     9     8     7
     5     9     1     2
     5     9     6     2
     2     9     4     8
     2     9     6     8
     5     9     6     8
     5     9     7     8
     2    14     4    11
     2    14    10    11
     8    14     4     2
     8    14     6     2
     8    14     4    11
     8    14    13    11
     6    14     2    10
     6    14    12    10
    10    14    11    13
    10    14    12    13
     6    14    12    13
     6    14     8    13
     4    19    15    16
     4    19    11    16
     4    19    15    17
     4    19     8    17
    16    19    15    17
    16    19    18    17
     8    19     4    11
     8    19    13    11
    11    19    16    18
    11    19    13    18
     8    19    13    18
     8    19    17    18
