     1     2     4
     1     2     5
     1     3     4
     1     3     7
     1     5     7
     2     4    11
     2     5     6
     2     6    10
     2    10    11
     3     4     7
     4     7     8
     4     8    17
     4    11    16
     4    15    16
     4    15    17
     5     6     8
     5     7     8
     6     8    13
     6    10    12
     6    12    13
     8    13    18
     8    17    18
    10    11    13
    10    12    13
    11    13    18
    11    16    18
    15    16    17
    16    17    18
